url,domain,time_delta_q1,time_delta_median,time_delta_q3,time_delta_max,time_delta_mean,time_delta_std,pkt_len_median,pkt_len_q3,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_count
https://www.yahoo.com/entertainment/tv/articles/brooks-nader-livvy-dunne-excited-080827777.html,yahoo.com,2e-06,5.8e-05,0.00085,0.829945,0.003952493548927614,0.02381950906839325,36.0,1135.0,10624.0,601.8729108197546,1068.6815802929586,23873
https://www.yahoo.com/entertainment/tv/articles/watch-luke-grimes-joins-u-192525169.html,yahoo.com,2e-06,3.5e-05,0.000606,0.148017,0.0008701408689110401,0.0037365344639793976,24.0,622.25,10624.0,612.6908612260248,1204.3137868327808,5318
https://www.yahoo.com/lifestyle/articles/1984-hit-ranked-best-super-200314770.html,yahoo.com,2e-06,3.9e-05,0.000572,0.086163,0.0009179807777286788,0.0034298920422205503,47.0,1328.0,11952.0,774.8212944554892,1331.8281133021874,4527
https://www.yahoo.com/lifestyle/articles/protecting-compass-one-thing-could-114500962.html,yahoo.com,2.5e-05,0.000385,0.00180975,0.078202,0.002311046625766871,0.005410264144984483,24.0,779.5,5312.0,458.56246166428133,772.0298384821277,4891
https://www.yahoo.com/lifestyle/cherry-blossom-blooms-tacoma-survived-212317900.html,yahoo.com,4e-06,6.1e-05,0.000924,0.44735,0.0033176553762431977,0.015455496188652622,39.0,1328.0,10624.0,674.9541680349017,1248.1437885437667,21317
https://www.yahoo.com/lifestyle/coffee-10x-better-according-meghan-174500827.html,yahoo.com,8e-06,3.7e-05,0.000524,0.815022,0.003023438239885521,0.02131191914525026,39.0,1906.0,15936.0,1367.0099190217568,2485.703330989737,30749
https://www.yahoo.com/lifestyle/dachshunds-happiness-over-totos-return-150500709.html,yahoo.com,2e-06,3.3e-05,0.0005384999999999999,0.104072,0.0008302967956575031,0.003251197861533361,35.0,1328.0,10624.0,770.1894257703082,1370.0755656857966,5712
https://www.yahoo.com/lifestyle/foreign-office-updates-france-advice-101634888.html,yahoo.com,8e-06,6.2e-05,0.0009764999999999999,0.075755,0.001436113062568606,0.004481451825379211,24.0,385.0,11952.0,536.4170096021948,1188.2235878701313,3645
https://www.yahoo.com/lifestyle/may-replace-wooden-spoon-sooner-130035759.html,yahoo.com,9e-06,5.1e-05,0.000812,0.06501,0.0012493619825995254,0.004173476749458353,31.0,1322.0,13280.0,644.9454401686874,1149.3688832887483,3794
https://www.yahoo.com/lifestyle/national-cookie-day-where-cookie-153256694.html,yahoo.com,1e-05,5.8e-05,0.000894,0.360962,0.0015634858223062382,0.00818739117245524,24.0,527.5,20474.0,642.6648818897638,1451.1767679349227,3175
https://www.yahoo.com/news/articles/crash-u-50-sends-2-205251962.html,yahoo.com,1.1e-05,8.6e-05,0.00097625,0.186425,0.0012646394643759473,0.004430976948010718,31.0,450.0,13280.0,566.2182369285173,1198.0285776330575,3959
https://www.yahoo.com/news/articles/huntsville-grows-again-city-adds-130051228.html,yahoo.com,1e-05,4.4e-05,0.000526,0.323016,0.0015571912820814692,0.008110359546169883,39.0,2524.0,13280.0,1536.6565912234746,2719.7892017275676,33977
https://www.yahoo.com/news/articles/lakeland-man-arrested-deadly-shooting-114459961.html,yahoo.com,2e-06,3e-05,0.000522,0.050722,0.0005436208463791536,0.001672479601501952,24.0,390.5,10624.0,498.8010502928701,1016.0928009539227,9902
https://www.yahoo.com/news/articles/man-abandoned-baby-outside-bathroom-114124362.html,yahoo.com,2e-06,4e-05,0.000734,0.050538,0.0010307552762627461,0.0031654167025404857,24.0,400.25,10624.0,568.3947368421053,1223.6732184472169,4218
https://www.yahoo.com/news/articles/woman-76-found-dead-oak-175243972.html,yahoo.com,2e-05,0.000288,0.0016405,0.064025,0.0021551009228937185,0.005444181578291746,31.0,1328.0,6640.0,495.93095238095236,784.5371008639542,3360
https://www.yahoo.com/news/bells-ring-across-county-tribute-142229603.html,yahoo.com,8e-06,3.2e-05,0.000532,0.177882,0.0007064082969432315,0.0029151026138719348,62.0,2346.0,11952.0,1377.716741711011,2407.884892563302,7329
https://www.yahoo.com/news/berks-commissioners-learn-6-3-104600147.html,yahoo.com,9e-06,5.2e-05,0.0007602500000000001,0.228669,0.0010996418245264206,0.00491844492134999,24.0,482.0,10624.0,546.7652628955893,1074.8222555735372,4013
https://www.yahoo.com/news/bridging-digital-divide-tiny-village-061732312.html,yahoo.com,8e-06,7.5e-05,0.001032,0.068457,0.0015326645815358067,0.004609635175548677,0.0,242.0,10624.0,461.21824455466896,1071.2868566118855,4637
https://www.yahoo.com/news/champaign-activates-sidewalk-snow-removal-200627261.html,yahoo.com,2e-06,5.8e-05,0.00076425,0.197568,0.0010893917910447762,0.004626062536937089,31.0,680.0,10624.0,565.8497886097986,1026.31837447701,4021
https://www.yahoo.com/news/christian-co-woman-charged-child-133833369.html,yahoo.com,2e-06,3.9e-05,0.000778,0.194155,0.0010667454220634211,0.004277894832699662,24.0,899.0,10624.0,638.6704621567314,1217.7262350279068,4479
https://www.yahoo.com/news/elon-musks-x-sues-overturn-194354050.html,yahoo.com,2.7e-05,0.000386,0.0021885,0.410357,0.004271951454485643,0.012586783292895767,12.0,328.25,6640.0,368.18848684210525,670.6639257978405,21280
https://www.yahoo.com/news/l-fires-show-reality-world-130304869.html,yahoo.com,9e-06,6.3e-05,0.000852,0.075693,0.001130472614622057,0.0034663268571280418,31.0,480.25,10624.0,573.9018830525273,1188.8334862497256,4036
https://www.yahoo.com/news/letter-carriers-protest-potential-privatization-040821090.html,yahoo.com,8e-06,6.3e-05,0.00092975,0.773132,0.0036642203955021325,0.01887393432021853,31.0,600.0,10624.0,583.4363706863126,1196.5705551184217,25791
https://www.yahoo.com/news/man-seemingly-boarded-delta-flight-110518720.html,yahoo.com,2.5e-05,0.000346,0.0015760000000000001,0.082095,0.002236886595434677,0.00590077941114432,31.0,1328.0,8025.0,501.55717407137655,784.9307447085442,4119
https://www.yahoo.com/news/minnesota-sen-nicole-mitchell-resign-165823413.html,yahoo.com,9e-06,4.55e-05,0.00065975,0.170617,0.0010259611713665945,0.004424201541975708,31.0,1328.0,33200.0,997.794621557146,2148.5663986266027,4611
https://www.yahoo.com/news/musk-doge-takeover-peace-institute-213714970.html,yahoo.com,2.7e-05,0.000394,0.002366,0.173061,0.002639471578687106,0.005977767973679734,31.0,1328.0,5498.0,610.563492063492,838.6726062054036,40446
https://www.yahoo.com/news/no-injuries-reported-school-bus-133724435.html,yahoo.com,1.2e-05,0.00012,0.001299,0.717121,0.0044220163620618935,0.022378021377838935,0.0,204.0,10624.0,362.39153222131074,778.8400600735478,21942
https://www.yahoo.com/news/officer-hit-head-east-charlotte-112109083.html,yahoo.com,4e-06,4.9e-05,0.00079225,0.114528,0.0010790981112277019,0.004189960356790232,24.0,318.0,10624.0,498.1290322580645,986.628642820713,3813
https://www.yahoo.com/news/oklahoma-capitol-protest-over-anti-223257315.html,yahoo.com,7e-06,7.65e-05,0.000923,0.064012,0.001317755253716043,0.004003034645817253,24.0,303.0,10624.0,464.8288496028696,938.2638527206913,3903
